id,asset_code,name,category,department,model,serial_number,purchase_date,purchase_cost,location
1,AST-1001,Dell XPS,Laptop,IT Support,v2.0,SN1001,2025-03-12,130000,Delhi
2,AST-1002,Logitech Mouse,Accessory,HR,v2.0,SN1002,2025-12-30,1900,Hyderabad
3,AST-1003,HP Monitor,Monitor,Operations,v2.0,SN1003,2025-12-23,12900,Pune
4,AST-1004,iPhone 14,Phone,Finance,v2.0,SN1004,2025-09-29,76000,Pune
5,AST-1005,Logitech Mouse,Accessory,HR,v2.0,SN1005,2025-09-24,1500,Kolkata
6,AST-1006,iPhone 14,Phone,Sales,v2.0,SN1006,2025-07-25,70000,Pune
7,AST-1007,Logitech Mouse,Accessory,IT Support,v2.0,SN1007,2025-12-04,1900,Ahmedabad
8,AST-1008,Logitech Mouse,Accessory,Engineering,v2.0,SN1008,2026-01-14,2100,Pune
9,AST-1009,Logitech Mouse,Accessory,Operations,v2.0,SN1009,2025-06-22,2300,Ahmedabad
10,AST-1010,Dell XPS,Laptop,Engineering,v2.0,SN1010,2025-09-01,125000,Delhi
11,AST-1011,HP Monitor,Monitor,Finance,v2.0,SN1011,2025-10-24,11300,Jaipur
12,AST-1012,HP Monitor,Monitor,Sales,v2.0,SN1012,2025-09-11,12100,Ahmedabad
13,AST-1013,iPhone 14,Phone,Operations,v2.0,SN1013,2025-11-05,74000,Jaipur
14,AST-1014,Dell XPS,Laptop,Finance,v2.0,SN1014,2025-04-25,145000,Lucknow
15,AST-1015,iPhone 14,Phone,Marketing,v2.0,SN1015,2025-03-21,68000,Bangalore
16,AST-1016,HP Monitor,Monitor,Operations,v2.0,SN1016,2025-01-24,11300,Bangalore
17,AST-1017,HP Monitor,Monitor,HR,v2.0,SN1017,2025-03-25,12100,Mumbai
18,AST-1018,iPhone 14,Phone,Finance,v2.0,SN1018,2025-04-28,74000,Ahmedabad
19,AST-1019,HP Monitor,Monitor,Engineering,v2.0,SN1019,2025-12-12,13700,Delhi
20,AST-1020,Logitech Mouse,Accessory,Sales,v2.0,SN1020,2025-11-10,1500,Hyderabad
21,AST-1021,HP Monitor,Monitor,Engineering,v2.0,SN1021,2025-11-04,11300,Chennai
